Категория,Наименование,Артикул,Цвет,Фото,Цена,Размеры,Вес,Объем,Новинка,Спец.предложение,На складе,Доступно,Снимается с производства,Добавленные 28.08.14
A001C001,LORD Стол с двумя тумбами 180,LRD201.M,",1,",LRD201.gif,1017,1800х800х780,"99,95",752,0,0,48,47,0,
A001C001,LORD Стол с двумя тумбами 220,LRD200.M,",1,",LRD200.gif,1100,2200х950х780,"115,61",793,0,0,52,52,0,
A001C001,LORD Брифинг-приставка,LRD202.M,",1,",LRD202.gif,328,1200х600х720,"27,71",111,0,0,88,87,0,
A001C001,LORD Греденция,LRD301.M,",1,",LRD301.gif,778,2000х508х798,"110,98","0,32",0,0,80,79,0,
A001C001,LORD ТВ панель греденции,LRD303.M,",1,",LRD303.gif,651,1950х76х972,"27,35",156,0,0,51,51,0,
A001C001,LORD Шкаф-гардероб,LRD401.M,",1,",LRD401.gif,1510,2043х523х2138,"260,1",673,0,0,77,76,0,
A001C001,LORD Стол для переговоров,LRD208.M,",1,",LRD208.gif,618,2200х950х780,"90,58",324,0,0,52,52,0,
A001C001,LORD Стол кофейный,LRD206.M,",1,",LRD206.gif,372,120x60x50,"38,95",162,0,0,51,51,0,
A001C001,LORD Стол с двумя тумбами 180,LRD201.K,",2,",LRD201.gif,1017,1800х800х780,"99,95",752,0,0,36,32,0,
A001C001,LORD Стол с двумя тумбами 220,LRD200.K,",2,",LRD200.gif,1100,2200х950х780,"115,61",793,0,0,48,45,0,
A001C001,LORD Брифинг-приставка,LRD202.K,",2,",LRD202.gif,328,1200х600х720,"27,71",111,0,0,69,65,0,
A001C001,LORD Греденция,LRD301.K,",2,",LRD301.gif,778,2000х508х798,"110,98","0,32",0,0,56,50,0,
A001C001,LORD ТВ панель греденции,LRD303.K,",2,",LRD303.gif,651,1950х76х972,"27,35",156,0,0,53,50,0,
A001C001,LORD Шкаф-гардероб,LRD401.K,",2,",LRD401.gif,1510,2043х523х2138,"260,1",673,0,0,84,77,0,
A001C001,LORD Стол для переговоров,LRD208.K,",2,",LRD208.gif,618,2200х950х780,"90,58",324,0,0,37,34,0,
A001C001,LORD Стол кофейный,LRD206.K,",2,",LRD206.gif,372,120x60x50,"38,95",162,0,0,77,74,0,
A001C002,EKIS Столешница L160х100,151 1016/27,",1,",151%20101627.gif,337,160x100x38,43999,89,0,0,56,30,0,
A001C002,EKIS Столешница L200х100,151 1020/27,",1,",151%20102027.gif,377,200x100x38,"56,6",106,0,0,80,66,0,
A001C002,EKIS Брифинг приставка,151 1512/27,",1,",151%20151227.gif,479,"120x50xh73,5","48,9",89,0,0,33,25,0,
A001C002,EKIS Опора стола с крепежами,151 1101/27,",1,",151%20110127.gif,229,60x100,"18,56",41,0,0,73,56,0,
A001C002,EKIS Опора стола без крепежей,151 1203/27,",1,",151%20120327.gif,167,60x100,"18,2",39,0,0,25,11,0,
A001C002,EKIS Опора с приставкой dx/sx,151 1102/27,",1,",151%20110227.gif,709,L200x60,"66,44",135,0,0,52,42,0,
A001C002,EKIS Тумба опорная dx/sx,151 1204/27,",1,",151%20120427.gif,853,"60x80xh73,5",41999,"0,47",0,0,31,18,0,
A001C002,EKIS Передняя панель L122,151 1312/27,",1,",151%20131227.gif,83,"L122,4",5999,16,0,0,19,15,0,
A001C002,EKIS Передняя панель L142,151 1418/27,",1,",151%20141827.gif,72,"L142,4","6,5",19,0,1,15,13,0,
A001C002,EKIS Передняя панель L160,151 1316/27,",1,",151%20131627.gif,93,L152,"6,9","0,02",0,0,36,22,0,
A001C002,EKIS Передняя панель L162,151 1420/27,",1,",151%20142027.gif,97,"L162,4","8,2",21,0,0,19,12,0,
A001C002,EKIS Передняя панель L200,151 1320/27,",1,",151%20132027.gif,107,"L192,4х18мм","9,5",25,0,0,27,27,0,
A001C002,EKIS Сегмент 180*,251270027,",1,",251270027.gif,279,"50х100x3,8","11,4",31,0,0,28,18,0,
A001C002,EKIS Сегмент 90*,251210027,",1,",251210027.gif,375,"105*105*3,8","22,6",63,0,0,35,23,0,
A001C002,EKIS Опора стола переговоров Y,251302127,",1,",251302127.gif,359,65*8*8,18999,38,0,0,52,22,0,
A001C002,EKIS Стол письменный 160х100,Ekis table 160*100,",1,",Ekis%20table%20160%2A100.gif,826,"160x100x73,5",87659,189,0,0,0,0,1,
A001C002,EKIS Стол письменный 180х100,Ekis table 180*100,",1,",Ekis%20table%20180%2A100.gif,804,"180x100x73,5","103,62",213,0,0,0,0,1,
A001C002,EKIS Стол письменный 200х100,Ekis table 200*100,",1,",Ekis%20table%20200%2A100.gif,880,"200x100x73,5","103,62",213,0,0,0,0,1,
A001C002,EKIS Стол на опор.тумбе186х100,Ekis table186*100 wi...,",1,",Ekis%20table186%2A100%20with%20pedestal.gif,1502,"186x100x73,5",110557,616,0,0,0,0,1,
A001C002,EKIS Стол на опор.тумбе206х100,Ekis table 206*100 w...,",1,",Ekis%20table%20206%2A100%20with%20pedestal.gif,1479,"206х100x73,5","115,26","0,62",0,0,0,0,1,
A001C002,EKIS Стол на опор.тумбе226х100,Ekis table 226*100 w...,",1,",Ekis%20table%20226%2A100%20with%20pedestal.gif,1556,"226х100x73,5","125,56",638,0,0,0,0,1,
A001C002,EKIS Стол на оп.тумбе с прист.,Ekis table 186*200 w...,",1,",Ekis%20table%20186%2A200%20with%20breafing%20and%20pedestal.gif,1982,"186x200x73,5",158437,"0,71",0,0,0,0,1,
A001C002,EKIS Стол на оп.тумбе с прист.,Ekis table 206*200 w...,",1,",Ekis%20table%20206%2A200%20with%20breafing%20and%20pedestal.gif,1959,"206x200x73,5","162,94",713,0,0,0,0,1,
A001C002,EKIS Стол на оп.тумбе с прист.,Ekis table 226*200 w...,",1,",Ekis%20table%20226%2A200%20with%20breafing%20and%20pedestal.gif,2036,"226x200x73,5","172,64",731,0,0,0,0,1,
A001C002,EKIS Стол c приставкой 160х200,Ekis table 160*200 w...,",1,",Ekis%20table%20160%2A200%20with%20breafing.gif,1368,"160x200x73,5",135899,285,0,0,0,0,1,
A001C002,EKIS Стол c приставкой 180х200,Ekis table 180*200 w...,",1,",Ekis%20table%20180%2A200%20with%20breafing.gif,1346,"180х200x73,5","141,8",288,0,0,0,0,1,
A001C002,EKIS Стол c приставкой 200х200,Ekis table 200*200 w...,",1,",Ekis%20table%20200%2A200%20with%20breafing.gif,1422,"200х200x73,5","151,3",306,0,0,0,0,1,
A001C002,EKIS Стол для переговоров L260,Ekis meeting table o...,",1,",Ekis%20meeting%20table%20oval%20260%2A100.gif,1613,"260x100x73,5",150,227,0,0,0,0,1,
A001C002,EKIS Стол для переговоров L280,Ekis meeting table o...,",1,",Ekis%20meeting%20table%20oval%20280%2A100.gif,1601,"280х100х73,5",109,228,0,0,0,0,1,
